sveitarfelag,ar,mannfjoldi,mannfjoldi_leiksk,mannfjoldi_skol
Fljótsdalshreppur,2013,80,0,12
Fljótsdalshreppur,2014,68,0,9
Fljótsdalshreppur,2015,75,0,11
Fljótsdalshreppur,2016,74,0,9
Fljótsdalshreppur,2017,81,4,7
Fljótsdalshreppur,2018,76,3,6
Fljótsdalshreppur,2019,74,3,5
Fljótsdalshreppur,2020,86,1,5
Fljótsdalshreppur,2021,98,2,1
Fljótsdalshreppur,2022,103,2,2
Fljótsdalshreppur,2023,96,0,2
Vestmannaeyjabær,1998,4628,525,991
Vestmannaeyjabær,1999,4584,476,1008
Vestmannaeyjabær,2000,4581,445,1027
Vestmannaeyjabær,2001,4527,416,1036
Vestmannaeyjabær,2002,4436,405,1002
Vestmannaeyjabær,2003,4426,396,979
Vestmannaeyjabær,2004,4344,359,961
Vestmannaeyjabær,2005,4215,322,929
Vestmannaeyjabær,2006,4172,291,926
Vestmannaeyjabær,2007,4084,272,903
Vestmannaeyjabær,2008,4055,270,887
Vestmannaeyjabær,2009,4086,277,876
Vestmannaeyjabær,2010,4135,290,847
Vestmannaeyjabær,2011,4142,298,820
Vestmannaeyjabær,2012,4194,306,799
Vestmannaeyjabær,2013,4221,306,778
Vestmannaeyjabær,2014,4264,321,752
Vestmannaeyjabær,2015,4272,320,744
Vestmannaeyjabær,2016,4282,312,734
Vestmannaeyjabær,2017,4292,311,710
Vestmannaeyjabær,2018,4284,296,711
Vestmannaeyjabær,2019,4301,297,687
Vestmannaeyjabær,2020,4355,271,679
Vestmannaeyjabær,2021,4347,267,686
Vestmannaeyjabær,2022,4414,286,699
Vestmannaeyjabær,2023,4523,306,699
Sveitarfélagið Árborg,1998,5486,527,1201
Sveitarfélagið Árborg,1999,5508,526,1180
Sveitarfélagið Árborg,2000,5691,540,1220
Sveitarfélagið Árborg,2001,5858,559,1234
Sveitarfélagið Árborg,2002,6050,564,1278
Sveitarfélagið Árborg,2003,6195,560,1318
Sveitarfélagið Árborg,2004,6344,574,1351
Sveitarfélagið Árborg,2005,6530,583,1376
Sveitarfélagið Árborg,2006,6987,654,1468
Sveitarfélagið Árborg,2007,7311,716,1489
Sveitarfélagið Árborg,2008,7635,747,1538
Sveitarfélagið Árborg,2009,7922,797,1577
Sveitarfélagið Árborg,2010,7811,762,1559
Sveitarfélagið Árborg,2011,7827,772,1576
Sveitarfélagið Árborg,2012,7783,772,1542
Sveitarfélagið Árborg,2013,7826,738,1551
Sveitarfélagið Árborg,2014,7889,685,1577
Sveitarfélagið Árborg,2015,8052,654,1608
Sveitarfélagið Árborg,2016,8206,634,1626
Sveitarfélagið Árborg,2017,8471,637,1660
Sveitarfélagið Árborg,2018,8995,676,1747
Sveitarfélagið Árborg,2019,9485,709,1873
Sveitarfélagið Árborg,2020,10055,770,1927
Sveitarfélagið Árborg,2021,10452,819,1953
Sveitarfélagið Árborg,2022,10834,847,2035
Sveitarfélagið Árborg,2023,11239,869,2060
Sveitarfélagið Hornafjörður,1998,2476,281,535
Sveitarfélagið Hornafjörður,1999,2446,259,547
Sveitarfélagið Hornafjörður,2000,2395,246,531
Sveitarfélagið Hornafjörður,2001,2372,248,527
Sveitarfélagið Hornafjörður,2002,2335,226,529
Sveitarfélagið Hornafjörður,2003,2331,220,537
Sveitarfélagið Hornafjörður,2004,2301,205,526
Sveitarfélagið Hornafjörður,2005,2220,182,512
Sveitarfélagið Hornafjörður,2006,2181,164,503
Sveitarfélagið Hornafjörður,2007,2181,158,511
Sveitarfélagið Hornafjörður,2008,2125,154,469
Sveitarfélagið Hornafjörður,2009,2112,137,457
Sveitarfélagið Hornafjörður,2010,2086,130,443
Sveitarfélagið Hornafjörður,2011,2119,144,413
Sveitarfélagið Hornafjörður,2012,2143,146,404
Sveitarfélagið Hornafjörður,2013,2166,134,409
Sveitarfélagið Hornafjörður,2014,2167,142,406
Sveitarfélagið Hornafjörður,2015,2150,151,367
Sveitarfélagið Hornafjörður,2016,2171,147,370
Sveitarfélagið Hornafjörður,2017,2187,149,357
Sveitarfélagið Hornafjörður,2018,2306,149,362
Sveitarfélagið Hornafjörður,2019,2389,159,339
Sveitarfélagið Hornafjörður,2020,2434,150,326
Sveitarfélagið Hornafjörður,2021,2387,135,335
Sveitarfélagið Hornafjörður,2022,2450,159,324
Sveitarfélagið Hornafjörður,2023,2547,156,326
Mýrdalshreppur,1998,526,36,125
Mýrdalshreppur,1999,521,34,120
Mýrdalshreppur,2000,520,36,121
Mýrdalshreppur,2001,521,39,120
Mýrdalshreppur,2002,526,37,115
Mýrdalshreppur,2003,505,34,110
Mýrdalshreppur,2004,493,36,105
Mýrdalshreppur,2005,508,37,96
Mýrdalshreppur,2006,504,35,91
Mýrdalshreppur,2007,496,33,92
Mýrdalshreppur,2008,489,35,87
Mýrdalshreppur,2009,489,31,88
Mýrdalshreppur,2010,510,37,99
Mýrdalshreppur,2011,469,29,82
Mýrdalshreppur,2012,459,28,76
Mýrdalshreppur,2013,462,32,69
Mýrdalshreppur,2014,489,33,71
Mýrdalshreppur,2015,480,40,73
Mýrdalshreppur,2016,525,35,69
Mýrdalshreppur,2017,562,39,68
Mýrdalshreppur,2018,633,35,74
Mýrdalshreppur,2019,695,41,71
Mýrdalshreppur,2020,719,38,74
Mýrdalshreppur,2021,758,43,73
Mýrdalshreppur,2022,814,48,67
Mýrdalshreppur,2023,877,47,66
Skaftárhreppur,1998,593,42,125
Skaftárhreppur,1999,586,41,126
Skaftárhreppur,2000,585,37,127
Skaftárhreppur,2001,575,35,121
Skaftárhreppur,2002,543,27,107
Skaftárhreppur,2003,524,22,97
Skaftárhreppur,2004,522,22,101
Skaftárhreppur,2005,507,21,101
Skaftárhreppur,2006,491,19,85
Skaftárhreppur,2007,487,23,80
Skaftárhreppur,2008,469,20,72
Skaftárhreppur,2009,465,18,69
Skaftárhreppur,2010,445,20,58
Skaftárhreppur,2011,446,27,56
Skaftárhreppur,2012,443,22,58
Skaftárhreppur,2013,443,20,57
Skaftárhreppur,2014,452,25,57
Skaftárhreppur,2015,460,24,57
Skaftárhreppur,2016,470,19,56
Skaftárhreppur,2017,475,25,55
Skaftárhreppur,2018,560,32,59
Skaftárhreppur,2019,583,37,57
Skaftárhreppur,2020,627,46,56
Skaftárhreppur,2021,624,50,54
Skaftárhreppur,2022,641,53,52
Skaftárhreppur,2023,680,46,59
Ásahreppur,1998,141,13,28
Ásahreppur,1999,131,13,24
Ásahreppur,2000,129,10,28
Ásahreppur,2001,145,11,30
Ásahreppur,2002,143,12,26
Ásahreppur,2003,140,10,20
Ásahreppur,2004,143,12,20
Ásahreppur,2005,149,11,23
Ásahreppur,2006,164,9,26
Ásahreppur,2007,158,7,23
Ásahreppur,2008,173,8,31
Ásahreppur,2009,178,10,32
Ásahreppur,2010,190,14,33
Ásahreppur,2011,194,17,34
Ásahreppur,2012,204,16,32
Ásahreppur,2013,191,15,32
Ásahreppur,2014,193,17,30
Ásahreppur,2015,216,19,32
Ásahreppur,2016,218,18,36
Ásahreppur,2017,256,20,40
Ásahreppur,2018,247,19,40
Ásahreppur,2019,248,19,38
Ásahreppur,2020,251,15,38
Ásahreppur,2021,271,15,43
Ásahreppur,2022,261,13,46
Ásahreppur,2023,295,14,53
Rangárþing eystra,1998,1702,126,389
Rangárþing eystra,1999,1690,126,383
Rangárþing eystra,2000,1667,118,369
Rangárþing eystra,2001,1654,127,353
Rangárþing eystra,2002,1642,132,352
Rangárþing eystra,2003,1657,130,365
Rangárþing eystra,2004,1665,137,359
Rangárþing eystra,2005,1651,137,354
Rangárþing eystra,2006,1669,132,356
Rangárþing eystra,2007,1696,131,346
Rangárþing eystra,2008,1752,130,338
Rangárþing eystra,2009,1762,137,324
Rangárþing eystra,2010,1745,133,313
Rangárþing eystra,2011,1741,131,310
Rangárþing eystra,2012,1741,130,310
Rangárþing eystra,2013,1735,120,304
Rangárþing eystra,2014,1708,114,296
Rangárþing eystra,2015,1749,120,299
Rangárþing eystra,2016,1774,121,289
Rangárþing eystra,2017,1752,111,301
Rangárþing eystra,2018,1798,103,300
Rangárþing eystra,2019,1924,116,305
Rangárþing eystra,2020,1961,122,297
Rangárþing eystra,2021,1924,110,304
Rangárþing eystra,2022,1971,117,304
Rangárþing eystra,2023,2035,123,295
Rangárþing ytra,1998,1382,127,321
Rangárþing ytra,1999,1371,113,318
Rangárþing ytra,2000,1378,119,301
Rangárþing ytra,2001,1419,115,322
Rangárþing ytra,2002,1431,101,321
Rangárþing ytra,2003,1433,98,319
Rangárþing ytra,2004,1432,100,321
Rangárþing ytra,2005,1446,100,326
Rangárþing ytra,2006,1454,102,317
Rangárþing ytra,2007,1528,116,329
Rangárþing ytra,2008,1557,121,322
Rangárþing ytra,2009,1604,120,322
Rangárþing ytra,2010,1543,112,328
Rangárþing ytra,2011,1523,108,308
Rangárþing ytra,2012,1504,105,285
Rangárþing ytra,2013,1518,95,288
Rangárþing ytra,2014,1553,105,273
Rangárþing ytra,2015,1548,103,257
Rangárþing ytra,2016,1526,115,222
Rangárþing ytra,2017,1537,115,225
Rangárþing ytra,2018,1610,124,224
Rangárþing ytra,2019,1636,132,211
Rangárþing ytra,2020,1682,131,223
Rangárþing ytra,2021,1740,137,240
Rangárþing ytra,2022,1810,146,246
Rangárþing ytra,2023,1866,143,260
Hrunamannahreppur,1998,693,81,166
Hrunamannahreppur,1999,701,83,170
Hrunamannahreppur,2000,718,84,178
Hrunamannahreppur,2001,724,86,175
Hrunamannahreppur,2002,747,83,180
Hrunamannahreppur,2003,739,74,183
Hrunamannahreppur,2004,732,68,188
Hrunamannahreppur,2005,754,65,196
Hrunamannahreppur,2006,766,65,196
Hrunamannahreppur,2007,786,55,205
Hrunamannahreppur,2008,805,48,199
Hrunamannahreppur,2009,793,46,184
Hrunamannahreppur,2010,788,53,186
Hrunamannahreppur,2011,795,53,183
Hrunamannahreppur,2012,774,47,180
Hrunamannahreppur,2013,784,51,167
Hrunamannahreppur,2014,785,44,155
Hrunamannahreppur,2015,794,51,142
Hrunamannahreppur,2016,807,51,137
Hrunamannahreppur,2017,773,44,123
Hrunamannahreppur,2018,774,45,116
Hrunamannahreppur,2019,786,47,108
Hrunamannahreppur,2020,818,55,95
Hrunamannahreppur,2021,822,59,101
Hrunamannahreppur,2022,818,48,104
Hrunamannahreppur,2023,874,59,108
Hveragerðisbær,1998,1668,165,392
Hveragerðisbær,1999,1714,157,405
Hveragerðisbær,2000,1760,147,415
Hveragerðisbær,2001,1816,151,424
Hveragerðisbær,2002,1872,154,430
Hveragerðisbær,2003,1889,145,426
Hveragerðisbær,2004,1902,141,449
Hveragerðisbær,2005,2021,143,471
Hveragerðisbær,2006,2084,157,465
Hveragerðisbær,2007,2184,154,474
Hveragerðisbær,2008,2289,161,485
Hveragerðisbær,2009,2315,172,454
Hveragerðisbær,2010,2291,175,453
Hveragerðisbær,2011,2316,178,462
Hveragerðisbær,2012,2283,172,440
Hveragerðisbær,2013,2291,166,424
Hveragerðisbær,2014,2333,180,423
Hveragerðisbær,2015,2384,184,420
Hveragerðisbær,2016,2463,189,401
Hveragerðisbær,2017,2483,188,385
Hveragerðisbær,2018,2566,185,406
Hveragerðisbær,2019,2628,191,425
Hveragerðisbær,2020,2699,197,424
Hveragerðisbær,2021,2778,205,424
Hveragerðisbær,2022,2984,247,466
Hveragerðisbær,2023,3196,276,490
Sveitarfélagið Ölfus,1998,1526,157,357
Sveitarfélagið Ölfus,1999,1620,173,372
Sveitarfélagið Ölfus,2000,1659,173,379
Sveitarfélagið Ölfus,2001,1683,169,390
Sveitarfélagið Ölfus,2002,1684,159,391
Sveitarfélagið Ölfus,2003,1732,160,389
Sveitarfélagið Ölfus,2004,1701,143,388
Sveitarfélagið Ölfus,2005,1724,137,395
Sveitarfélagið Ölfus,2006,1794,136,401
Sveitarfélagið Ölfus,2007,1846,144,401
Sveitarfélagið Ölfus,2008,1957,149,407
Sveitarfélagið Ölfus,2009,1997,152,420
Sveitarfélagið Ölfus,2010,1952,155,376
Sveitarfélagið Ölfus,2011,1915,152,365
Sveitarfélagið Ölfus,2012,1930,146,366
Sveitarfélagið Ölfus,2013,1900,141,364
Sveitarfélagið Ölfus,2014,1906,144,354
Sveitarfélagið Ölfus,2015,1885,126,351
Sveitarfélagið Ölfus,2016,1956,138,347
Sveitarfélagið Ölfus,2017,2005,137,356
Sveitarfélagið Ölfus,2018,2111,153,375
Sveitarfélagið Ölfus,2019,2153,140,356
Sveitarfélagið Ölfus,2020,2276,158,375
Sveitarfélagið Ölfus,2021,2369,169,395
Sveitarfélagið Ölfus,2022,2481,176,395
Sveitarfélagið Ölfus,2023,2573,194,390
Grímsnes- og Grafningshreppur,1998,298,23,57
Grímsnes- og Grafningshreppur,1999,329,30,65
Grímsnes- og Grafningshreppur,2000,350,30,67
Grímsnes- og Grafningshreppur,2001,327,20,61
Grímsnes- og Grafningshreppur,2002,348,20,65
Grímsnes- og Grafningshreppur,2003,364,19,73
Grímsnes- og Grafningshreppur,2004,343,17,62
Grímsnes- og Grafningshreppur,2005,346,14,65
Grímsnes- og Grafningshreppur,2006,358,18,64
Grímsnes- og Grafningshreppur,2007,376,18,65
Grímsnes- og Grafningshreppur,2008,378,19,61
Grímsnes- og Grafningshreppur,2009,442,27,86
Grímsnes- og Grafningshreppur,2010,415,26,71
Grímsnes- og Grafningshreppur,2011,400,27,62
Grímsnes- og Grafningshreppur,2012,416,22,72
Grímsnes- og Grafningshreppur,2013,422,28,63
Grímsnes- og Grafningshreppur,2014,422,29,62
Grímsnes- og Grafningshreppur,2015,431,35,57
Grímsnes- og Grafningshreppur,2016,465,35,63
Grímsnes- og Grafningshreppur,2017,467,29,58
Grímsnes- og Grafningshreppur,2018,479,38,55
Grímsnes- og Grafningshreppur,2019,493,36,53
Grímsnes- og Grafningshreppur,2020,497,32,63
Grímsnes- og Grafningshreppur,2021,492,22,65
Grímsnes- og Grafningshreppur,2022,525,25,58
Grímsnes- og Grafningshreppur,2023,535,22,56
Skeiða- og Gnúpverjahreppur,1998,558,52,127
Skeiða- og Gnúpverjahreppur,1999,541,48,122
Skeiða- og Gnúpverjahreppur,2000,532,46,125
Skeiða- og Gnúpverjahreppur,2001,533,43,125
Skeiða- og Gnúpverjahreppur,2002,505,36,121
Skeiða- og Gnúpverjahreppur,2003,506,35,117
Skeiða- og Gnúpverjahreppur,2004,520,35,118
Skeiða- og Gnúpverjahreppur,2005,529,40,124
Skeiða- og Gnúpverjahreppur,2006,521,45,120
Skeiða- og Gnúpverjahreppur,2007,528,38,122
Skeiða- og Gnúpverjahreppur,2008,536,44,130
Skeiða- og Gnúpverjahreppur,2009,515,36,125
Skeiða- og Gnúpverjahreppur,2010,517,42,113
Skeiða- og Gnúpverjahreppur,2011,505,37,104
Skeiða- og Gnúpverjahreppur,2012,504,39,92
Skeiða- og Gnúpverjahreppur,2013,504,37,86
Skeiða- og Gnúpverjahreppur,2014,530,34,82
Skeiða- og Gnúpverjahreppur,2015,518,30,73
Skeiða- og Gnúpverjahreppur,2016,521,27,75
Skeiða- og Gnúpverjahreppur,2017,594,34,79
Skeiða- og Gnúpverjahreppur,2018,690,35,90
Skeiða- og Gnúpverjahreppur,2019,626,38,86
Skeiða- og Gnúpverjahreppur,2020,609,45,81
Skeiða- og Gnúpverjahreppur,2021,590,46,88
Skeiða- og Gnúpverjahreppur,2022,576,50,92
Skeiða- og Gnúpverjahreppur,2023,577,47,88
Bláskógabyggð,1998,792,70,188
Bláskógabyggð,1999,792,73,181
Bláskógabyggð,2000,816,69,191
Bláskógabyggð,2001,848,69,194
Bláskógabyggð,2002,885,68,198
Bláskógabyggð,2003,879,56,205
Bláskógabyggð,2004,907,69,213
Bláskógabyggð,2005,893,74,202
Bláskógabyggð,2006,924,72,196
Bláskógabyggð,2007,928,74,198
Bláskógabyggð,2008,982,82,198
Bláskógabyggð,2009,986,83,183
Bláskógabyggð,2010,935,74,170
Bláskógabyggð,2011,935,76,167
Bláskógabyggð,2012,906,64,165
Bláskógabyggð,2013,897,63,155
Bláskógabyggð,2014,931,60,160
Bláskógabyggð,2015,961,65,162
Bláskógabyggð,2016,979,63,148
Bláskógabyggð,2017,1026,66,164
Bláskógabyggð,2018,1115,76,167
Bláskógabyggð,2019,1121,70,164
Bláskógabyggð,2020,1163,72,160
Bláskógabyggð,2021,1144,70,172
Bláskógabyggð,2022,1164,63,191
Bláskógabyggð,2023,1280,65,202
Flóahreppur,1998,496,47,116
Flóahreppur,1999,492,45,116
Flóahreppur,2000,469,31,116
Flóahreppur,2001,491,35,117
Flóahreppur,2002,510,37,108
Flóahreppur,2003,509,36,110
Flóahreppur,2004,510,33,120
Flóahreppur,2005,517,37,116
Flóahreppur,2006,525,45,109
Flóahreppur,2007,559,49,116
Flóahreppur,2008,585,52,120
Flóahreppur,2009,596,48,117
Flóahreppur,2010,602,52,120
Flóahreppur,2011,594,49,120
Flóahreppur,2012,602,49,118
Flóahreppur,2013,639,55,121
Flóahreppur,2014,631,54,117
Flóahreppur,2015,616,52,118
Flóahreppur,2016,619,52,118
Flóahreppur,2017,648,55,125
Flóahreppur,2018,644,51,127
Flóahreppur,2019,667,50,132
Flóahreppur,2020,687,53,132
Flóahreppur,2021,690,47,138
Flóahreppur,2022,694,42,144
Flóahreppur,2023,708,48,137
