sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Dalabyggð,54.3,2022,10.25,2.74,19.95,0,4.5,8.390000104904175,25.95999989509582
Bolungarvíkurkaupstaður,83.3,2022,15.55,3.58,28.980000000000004,4.409999847412109,5,18.619999885559082,35.70000011444091
Ísafjarðarbær,310.40000000000003,2022,45.11,11.23,83.46000000000001,9,28.270000457763672,77.64999985694885,149.29000014305117
Reykhólahreppur,36.15,2022,3.34,4.29,10.31,1.2000000476837158,0,5.569999933242798,20.2700000667572
Tálknafjarðarhreppur,25.3,2022,3.3,4.15,9.58,0,2.200000047683716,5.200000047683716,10.519999952316285
Vesturbyggð,77.15350000000001,2022,7.74,9.12,28.11,1,2.25,20.020000219345093,29.023499780654916
Strandabyggð,34.9773,2022,6.6,1,13,1,4.800000190734863,10.5,11.4773
Sveitarfélagið Skagafjörður,394.9,2022,61.449999999999996,6.41,111.46,26.71000051498413,12.699999809265137,78.08000040054321,205.35999959945678
Húnaþing vestra,90.94,2022,18.99,0.83,34.15,2,2.0399999618530273,17.039999961853027,39.75000003814697
Sveitarfélagið Skagaströnd,29.98,2022,7.9,3,17.05,2.25,3,9,3.9299999999999997
Akureyrarbær,1380.4353999999998,2022,262.27,5.86,423.67,83.09999966621399,33.93000016361475,202.73999939113855,754.0254006088612
Norðurþing,275.6,2022,34.010000000000005,10.299999999999999,65.55,8.260000228881836,9.000000238418579,41.04000115394592,169.0099988460541
Fjallabyggð,173.95499999999998,2022,19.26,6.2,48.05,7.510000228881836,7.21999979019165,31.87999963760376,94.02500036239623
Dalvíkurbyggð,142.17000000000002,2022,27.97,1.8,45.18,10.019999980926514,0.9999999776482582,28.299999929964542,68.69000007003547
Eyjafjarðarsveit,77.097,2022,18.68,1.03,28.520000000000003,4.119999885559082,3.6500000953674316,18.459999561309814,30.117000438690177
Hörgársveit,49.85,2022,9.54,1.25,17.79,8.0600004196167,1.0299999713897705,18.06000065803528,13.999999341964724
Svalbarðsstrandarhreppur,30.4,2022,8.41,0,14.76,2,1.5499999523162842,10.129999876022339,5.51000012397766
Grýtubakkahreppur,36.47,2022,9.7,0.74,12.629999999999999,1.5,0.9300000071525574,4.180000007152557,19.659999992847442
Skútustaðahreppur,33.36,2022,5.72,1.19,11.54,1.75,2.4200000762939453,5.1100000739097595,16.70999992609024
Þingeyjarsveit,70.17,2022,22.630000000000003,3.05,43.06,3.200000047683716,3.740000009536743,12.820000171661377,14.289999828338622
Langanesbyggð,54.065000000000005,2022,7.82,4.99,15.440000000000001,1.559999942779541,1,7.559999942779541,31.06500005722046
Fjarðabyggð,435.19999999999993,2022,62.67,26.509999999999998,144.853,17.049999833106995,11.409999966621399,80.05999970436096,210.28700029563896
Múlaþing,436.1714,2022,73.36999999999999,24.08,150.38,22.179999828338623,25.13000077009201,91.7600000500679,194.0313999499321
Vopnafjarðarhreppur,87.60000000000001,2022,9.25,4.08,18.93,5.179999828338623,1.4900000095367432,14.15999960899353,54.510000391006486
Vestmannaeyjabær,266.386,2022,54.15,2.74,92.89,7.259999990463257,6.670000076293945,35.22000050544739,138.27599949455265
Sveitarfélagið Árborg,790.6000000000001,2022,147.78,27.589999999999996,274.52,35.980000257492065,34.69000053405762,173.40000224113464,342.6799977588655
Sveitarfélagið Hornafjörður,175.38,2022,30.31,6.4,56.6,5.329999923706055,5.739999771118164,36.31999969482422,82.46000030517578
Mýrdalshreppur,45.601,2022,8.22,1.96,14.52,1,4,9.5,21.581
Skaftárhreppur,38.5,2022,4.24,2.36,10.379999999999999,1,1,12.9399995803833,15.1800004196167
Rangárþing eystra,119,2022,31.26,1.7,48.97,9,5.579999923706055,31.190000534057617,38.839999465942384
Rangárþing ytra,136.1335,2022,24.96,4.33,49.91,5.630000114440918,9.349999904632568,37.47999906539917,48.74350093460083
Hrunamannahreppur,68.81,2022,14.3,0,21.990000000000002,0.800000011920929,4.659999847412109,16.05000001192093,30.76999998807907
Hveragerðisbær,244.27999999999997,2022,42.11,2.07,65.9,10.259999752044678,11.669999837875366,68.1300003528595,110.24999964714047
Sveitarfélagið Ölfus,139.3,2022,29.98,4.06,52.68,5,8.800000190734863,30.97000026702881,55.649999732971196
Grímsnes- og Grafningshreppur,37.64,2022,6.4,3.5,18.66,3.5,0.5299999713897705,7.019999980926514,11.960000019073487
Skeiða- og Gnúpverjahreppur,30.4843,2022,6.19,2.48,14.14,6.5,1.899999976158142,11.99999988079071,4.34430011920929
Reykjavíkurborg,8718.988007250004,2023,1385.52,168.01,2366.14,389.2000000476837,295.85000109672546,1674.4200010299683,4678.428006220036
Kópavogsbær,2100,2023,454.82,57.10000000000001,758.6800000000001,153.52999925613403,66.42000007629395,547.0199990272522,794.3000009727477
Seltjarnarnesbær,261.21999999999997,2023,48.8,14.88,95.1,19.8799991607666,13.859999656677246,65.63999843597412,100.48000156402586
Garðabær,943.0000000000001,2023,211.16,18.939999999999998,357.09,61.53999972343445,24.12999999523163,257.2333003282547,328.6766996717454
Hafnarfjarðarkaupstaður,1798.47,2023,412.8399999999999,69.19000000000001,735.6899999999999,131.13000106811523,85.5800011754036,512.4800027012825,550.2999972987177
Mosfellsbær,731.4,2023,167.73000000000002,25.24,288.5,32.50000023841858,32.639999866485596,210.06000113487244,232.83999886512754
Reykjanesbær,1058.53,2023,210.78,98.91,497.77,51.18000030517578,32.930000364780426,187.50000101327896,373.25999898672103
Grindavíkurbær,206.4968,2023,47.97,11.75,87.85,3.5999999046325684,4.349999904632568,24.02999973297119,94.61680026702882
Sveitarfélagið Vogar,79.31000000000002,2023,19.99,4.14,39.34,4.75,1.5,16.90999984741211,23.060000152587904
Akraneskaupstaður,641.6800000000001,2023,100.75,13.93,190.65,41.500000953674316,31.50999927520752,127.26999950408936,323.76000049591073
Hvalfjarðarsveit,53.300000000000004,2023,8.98,1.97,20.67,3,4,12.03000020980835,20.599999790191653
Borgarbyggð,423,2023,59.41,3.5999999999999996,98.34,23.16000008583069,8.420000076293945,71.78999924659729,252.87000075340268
Grundarfjarðarbær,63.4957,2023,11.86,2.97,19.69,0.75,5.900000095367432,13.559999942779541,30.24570005722046
Snæfellsbær,146.4098,2023,24.9,6.23,54.51,5.519999980926514,2.9200000762939453,26.970000743865967,64.92979925613403
Sveitarfélagið Stykkishólmur,111.21,2023,16.13,6.21,37.66,3.8299999237060547,7.480000019073486,25.12000036239624,48.42999963760376
Dalabyggð,50.50000000000001,2023,8.24,4.7,20.150000000000002,0,4.699999809265137,8.40999984741211,21.940000152587896
Bolungarvíkurkaupstaður,84,2023,13.4,5.5,29.7,3.440000057220459,3.809999942779541,19.770000457763672,34.529999542236325
Ísafjarðarbær,281.1737,2023,41.46,13.179999999999998,80.33,10.00000011920929,19.729999780654907,76.33000075817108,124.51369924182893
Reykhólahreppur,43.3,2023,2.79,4.69,8.25,1,0.28999999165534973,3.6700001060962677,31.37999989390373
Tálknafjarðarhreppur,22.33,2023,2.05,4.15,8.73,1,1.7000000476837158,5,8.599999999999998
Vesturbyggð,80.49879999999999,2023,9.22,9.59,28.69,0,3.319999933242798,19.690000295639038,32.11879970436095
Súðavíkurhreppur,13.65,2023,1.75,3,6.75,0,0.25,2.25,4.65
Strandabyggð,37.440000000000005,2023,6.4,0,11.15,1,2.930000066757202,7.5299999713897705,18.760000028610236
Húnaþing vestra,81.675,2023,16.02,4.26,33.49,1,2.0399999618530273,16.920000076293945,31.26499992370605
Skagafjörður,401.6,2023,66.97,5.5,115.72,25.199999570846558,14.749999761581421,93.45999884605408,192.42000115394592
Akureyrarbær,1429.3199999999997,2023,262.95000000000005,6.200000000000001,420.28000000000003,101.46999931335449,41.660000182688236,255.77999935299158,753.2600006470082
Norðurþing,270,2023,29.15,16.52,70.46000000000001,11.350000381469727,10.920000433921814,49.03000104427338,150.50999895572662
Fjallabyggð,184.40239999999997,2023,20.19,7.7,47.379999999999995,5.599999904632568,4.840000152587891,32.24999952316284,104.77240047683713
Dalvíkurbyggð,157.61,2023,26.37,2.71,44.67,8.410000026226044,3.700000047683716,32.73999923467636,80.20000076532365
Eyjafjarðarsveit,83.2279,2023,20.35,1.1,33,3.940000057220459,3,18.62999963760376,31.597900362396246
Hörgársveit,55.199999999999996,2023,9.85,1.96,17.81,9.279999732971191,2.5399999618530273,21.899999618530273,15.490000381469727
Svalbarðsstrandarhreppur,31.240000000000002,2023,8.8,0,14.4,1.5,1.5,10.199999809265137,6.640000190734867
Grýtubakkahreppur,38.7,2023,6.6,3.85,10.91,0,0.9300000071525574,4.1700000166893005,23.619999983310702
Þingeyjarsveit,104.30000000000001,2023,29.880000000000003,4.85,57.03,2,4.78000009059906,14.510000109672546,32.759999890327464
Langanesbyggð,52.663000000000004,2023,8.82,4.46,15.88,1.559999942779541,0,7.559999942779541,29.22300005722046
Fjarðabyggð,415,2023,59.61,28.97,147.34,15.049999952316284,12.610000133514404,92.12000012397766,175.5399998760223
Múlaþing,448.84520000000003,2023,70.07,34,159.51,20.830000162124634,25.150000050663948,91.62000055611134,197.7151994438887
Vopnafjarðarhreppur,91.42999999999999,2023,8.17,3.47,18.59,5.179999828338623,1.2300000190734863,14.710000038146973,58.12999996185302
Vestmannaeyjabær,280.3,2023,52.41,3.15,87.47999999999999,8.309999942779541,2.25,37.36000061035156,155.45999938964846
Sveitarfélagið Árborg,836.7,2023,169.88,32.31,313.18,44.1899995803833,49.96000003814697,221.9099998474121,301.6100001525879
Sveitarfélagið Hornafjörður,170,2023,25.71,12.32,58.410000000000004,5.699999809265137,4,34.65999889373779,76.93000110626221
Mýrdalshreppur,49.739999999999995,2023,8.06,1.16,13.84,1,4,8.5,27.39999999999999
Skaftárhreppur,54.5,2023,5.73,2.8,11.580000000000002,1,1.7000000476837158,12.160000085830688,30.759999914169313
Rangárþing eystra,120.35000000000001,2023,23.27,1.71,41.510000000000005,9,5.829999923706055,31.3799991607666,47.4600008392334
Rangárþing ytra,179.57,2023,34.72,5.44,60.4,7.900000095367432,9,41.08000040054321,78.08999959945677
Hrunamannahreppur,76.9,2023,12.52,0.92,22.07,1,5.059999942779541,18.049999713897705,36.7800002861023
Hveragerðisbær,196.89999999999998,2023,41.69,7.37,67.57,12.210000038146973,11.329999923706055,70.63000011444092,58.699999885559066
Grímsnes- og Grafningshreppur,40.875,2023,7.3,3,17.86,2.75,1,5.309999942779541,17.70500005722046
Skeiða- og Gnúpverjahreppur,31.1397,2023,6.15,1.73,11.620000000000001,4.099999904632568,3.9000000953674316,12.550000190734863,6.969699809265137
Bláskógabyggð,83.16000000000001,2023,24,3.01,33.309999999999995,4.769999980926514,4.75,19.320000171661377,30.52999982833864
Flóahreppur,51.87,2023,10.16,6.95,28.16,4.53000020980835,0,14.400000095367432,9.309999904632566
