sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Kópavogsbær,1974.8,2019,447.2736,50.9631,732.8104000000001,165.24000120162964,61.549999594688416,515.1299990415573,726.8596009584426
Seltjarnarnesbær,269.6,2019,56.3484,2.9757,83.8288,23.299999237060547,0.75,76.14999771118164,109.62120228881838
Garðabær,736.9000000000001,2019,194.4848,9.1019,319.9579,43.46999955177307,7.139999896287918,165.660000115633,251.28209988436708
Hafnarfjarðarkaupstaður,1521,2019,367.7018,69.852,606.3181000000001,125.98000073432922,64.63000023365021,449.0100053548813,465.67189464511864
Mosfellsbær,572.8,2019,145.2724,27.1722,262.1888,36.760000228881836,32.91999942064285,154.54000121355057,156.07119878644937
Reykjanesbær,831.52,2019,186.2472,63.7827,365.2909,50.65999889373779,24.789999663829803,151.33999913930893,314.88910086069103
Grindavíkurbær,177.425,2019,41.07,10,71.4,6.230000019073486,4.800000190734863,26.250000476837158,79.77499952316285
Sveitarfélagið Vogar,78.03999999999999,2019,15.9199,10.3399,38.669,4.75,3,18.859999656677246,20.51100034332275
Akraneskaupstaður,461.19,2019,99.4884,0,170.2509,47.769999980926514,27.489999294281006,116.75999975204468,174.17910024795532
Hvalfjarðarsveit,46.4,2019,13.6075,0,21.9075,2,3,12.849999904632568,11.642500095367431
Borgarbyggð,290.19999999999993,2019,53.6333,10.399,102.5135,20.53000020980835,4.959999918937683,62.37000024318695,125.31649975681299
Grundarfjarðarbær,58.0907,2019,13.0952,0,19.1256,1.75,4.75,15.75,23.2151
Snæfellsbær,144.4,2019,31.832800000000002,4.18,59.3428,6.429999828338623,6.010000228881836,24.990000247955322,60.06719975204469
Dalabyggð,53.7,2019,11.035699999999999,1.81,19.9207,1,2.0999999046325684,8.799999713897705,24.9793002861023
Bolungarvíkurkaupstaður,74.39999999999999,2019,13.81,2.77,28.03,3.4100000858306885,2.8399999141693115,14.239999771118164,32.130000228881826
Ísafjarðarbær,274,2019,46.7589,8.302999999999999,81.6529,18.549999952316284,10.069999933242798,61.369998931884766,130.97710106811525
Reykhólahreppur,44.89,2019,4.48,2.67,11.350000000000001,1,1.100000023841858,4.550000071525574,28.989999928474425
Vesturbyggð,87.6,2019,11.8014,9.016399999999999,31.0978,1.300000011920929,2.75,19.100000202655792,37.4021997973442
Súðavíkurhreppur,16.95,2019,2.75,3,6.75,0.25,2.25,2.5,7.699999999999999
Sveitarfélagið Skagafjörður,340.3,2019,65.815,1.3599999999999999,108.61749999999999,25.859999179840088,2.950000047683716,69.28999876976013,162.39250123023987
Húnaþing vestra,81.62,2019,17.2054,1.3,34.400400000000005,4.300000190734863,0.12999999523162842,14.230000376701355,32.989599623298645
Sveitarfélagið Skagaströnd,28.189999999999998,2019,11.8,1.85,19.1,2,4,9,0.0899999999999963
Akureyrarkaupstaður,1467.4,2019,253.2502,8.576,417.21130000000005,98.52000045776367,18.39000028371811,229.9500009417534,820.2386990582468
Norðurþing,241,2019,39.63280000000001,8.879800000000001,68.70260000000002,11.740000128746033,10.330000311136246,47.75000122189522,124.54739877810476
Fjallabyggð,164.71999999999997,2019,21.28,3,43.894999999999996,6.630000114440918,1,27.609999656677246,93.21500034332273
Dalvíkurbyggð,132.89000000000001,2019,27.09,2.6938,45.2638,6.829999923706055,6.200000107288361,25.790000438690186,61.836199561309826
Eyjafjarðarsveit,61.72,2019,19.89,0.63,29.29,3.6600000858306885,5.559999942779541,15.589999914169312,16.840000085830688
Hörgársveit,35.900000000000006,2019,9.0718,2.4488,18.1206,6.400000095367432,0,9.259999990463257,8.51940000953675
Svalbarðsstrandarhreppur,26.1875,2019,6.4,0,8.9,2.9700000286102295,0,7.2900002002716064,9.997499799728395
Grýtubakkahreppur,33.8,2019,8.65,0,11.34,2.3499999046325684,0.75,6.599999904632568,15.860000095367429
Skútustaðahreppur,21.9,2019,4.3,2.1,10.5,2,1.600000023841858,8.940000176429749,2.45999982357025
Þingeyjarsveit,78.6,2019,17.77,2.25,36.69,4.859999895095825,2.899999976158142,12.549999833106995,29.360000166893002
Langanesbyggð,45.099999999999994,2019,7.75,3.75,17.58,1.690000057220459,1,7.25,20.269999999999996
Fjarðabyggð,376.63,2019,65.2343,22.1862,138.7838,15.75000011920929,15.130000069737434,100.97999961674213,136.86620038325785
Vopnafjarðarhreppur,71.31,2019,10.6,2.72,22.17,4.96999979019165,0,9.759999752044678,39.38000024795532
Borgarfjarðarhreppur,7,2019,1.29,0.21,2.4,0.7300000190734863,0.20000000298023224,1.5900000482797623,3.0099999517202374
Djúpavogshreppur,49.1693,2019,6.06,5.85,19.11,3,0,11.520000457763672,18.53929954223633
Fljótsdalshérað,272.3,2019,56.933299999999996,8.2039,94.7451,20.720000445842743,16.569999888539314,68.7299994379282,108.82490056207183
Sveitarfélagið Hornafjörður,147.68,2019,25.1722,6.68,51.2222,4.599999904632568,8.880000114440918,33.18000078201294,63.27779921798707
Vestmannaeyjabær,293.09999999999997,2019,51.8,1.04,83.19999999999999,5.640000104904175,8.779999732971191,33.670000076293945,176.22999992370603
